month,baseline,nuclear,optimistic,climate change,no batteries
1,69.94970640077676,66.5560499342444,70.59208910518085,68.19104649138748,69.50735933940473
2,70.45606797507743,66.5460184215638,71.42122901494629,68.79429559381367,69.85892403343352
3,76.1739534933194,70.48542879979547,76.75206437745271,74.40369816197526,75.24648532867492
4,77.4591464000074,70.24675988982881,77.94501370374775,75.87370488080208,76.59042200904554
5,80.07507080893103,73.80737893825261,80.53945696317393,78.06883694927494,78.96002646696289
6,73.37329198112332,69.30261729623561,73.96011180452304,69.65859537693883,72.12825954023427
7,71.45983155224368,67.42391390139748,72.07719128680607,66.72516666067108,70.3294841670832
8,69.26297895254227,65.2690786391971,70.28860157038363,64.4756193425498,67.84624924794903
9,64.27931495148634,61.191623475905,65.01938483527387,60.909107360420755,63.24251541113173
10,70.58396476147524,69.72014702998061,71.43880812932483,68.06097275688055,69.48561033719544
11,72.9895813856809,71.9509629963046,73.97562226056822,71.48188681338846,72.41692959244914
12,73.13178833026116,72.26065981676308,74.03309042635007,71.40338742654,72.75634111171829
